title,score,people_num,quote,description,url,pic
忠犬八公物语,9.2,200208,养狗三日，便会对你终其一生。,,https://movie.douban.com/subject/1959195/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg
荒蛮故事,8.8,453155,始于荒诞，止于更荒诞。,,https://movie.douban.com/subject/24750126/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg
小偷家族,8.7,826404,我们组成了家。,,https://movie.douban.com/subject/27622447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
无敌破坏王,8.7,553828,迪士尼和皮克斯拿错剧本的产物。,,https://movie.douban.com/subject/6534248/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
爆裂鼓手,8.7,602990,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,,https://movie.douban.com/subject/25773932/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
冰川时代,8.6,629546,松鼠才是角儿。,,https://movie.douban.com/subject/1291578/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
恐怖游轮,8.5,887458,不要企图在重复中寻找已经失去的爱。,,https://movie.douban.com/subject/3011051/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
贫民窟的百万富翁,8.6,757709,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,,https://movie.douban.com/subject/2209573/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
牯岭街少年杀人事件,8.9,311130,弱者送给弱者的一刀。,,https://movie.douban.com/subject/1292329/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
东京教父,9.0,241607,,,https://movie.douban.com/subject/1310177/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg
东邪西毒,8.6,587438,电影诗。,,https://movie.douban.com/subject/1292328/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
魔女宅急便,8.7,470667,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,,https://movie.douban.com/subject/1307811/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
大佛普拉斯,8.7,474681,人们可以登上月球，却永远无法探索人们内心的宇宙。,,https://movie.douban.com/subject/27059130/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
遗愿清单,8.7,475836,用剩余不多的时间，去燃烧整个生命。,,https://movie.douban.com/subject/1867345/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg
你看起来好像很好吃,8.9,340794,感情不分食草或者食肉。,,https://movie.douban.com/subject/4848115/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
可可西里,8.9,310546,坚硬的信仰。,,https://movie.douban.com/subject/1308857/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
黑天鹅,8.6,793036,黑暗之美。,,https://movie.douban.com/subject/1978709/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
真爱至上,8.5,750688,爱，是个动词。,,https://movie.douban.com/subject/1292401/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
城市之光,9.3,151509,永远的小人物，伟大的卓别林。,,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
源代码,8.5,851105,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,,https://movie.douban.com/subject/3075287/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
海边的曼彻斯特,8.6,561618,我们都有权利不与自己的过去和解。,,https://movie.douban.com/subject/25980443/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
雨人,8.7,411438,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,,https://movie.douban.com/subject/1291870/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg
波西米亚狂想曲,8.6,620464,,,https://movie.douban.com/subject/5300054/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
末路狂花,8.9,271071,没有了退路，只好飞向自由。,,https://movie.douban.com/subject/1291992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg
初恋这件小事,8.5,993234,黑小鸭速效美白记。,,https://movie.douban.com/subject/4739952/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
